models,delta,spacing,onvg,hypervolume,c_guided prim3,c_guided prim2,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim3,0.9198734982193579,1.187436578083504,11,488.0959214036235,0.0,0.6,1.0,1.0,1.0,1.0,5
guided prim2,0.9172822635617887,0.9436841199509074,10,426.2345505995977,0.36363636363636365,0.0,1.0,0.75,1.0,1.0,4
kruskal,0.9739513692363989,0.8797229701231228,3,40.74556508004474,0.0,0.0,0.0,0.375,0.5,1.0,3
netkeys,0.928345025336033,0.49663288937265837,8,85.6973338309034,0.0,0.0,0.0,0.0,0.5,1.0,2
prim,0.9664297707756058,0.0,2,53.4743062665589,0.0,0.0,0.0,0.125,0.0,1.0,1
prufer,0.9096162368655919,0.0,2,4.806004008230957,0.0,0.0,0.0,0.0,0.0,0.0,0
