models,delta,spacing,nds,c_1.2.5.0.0,c_1.2.5.0.1,c_1.2.5.0.2,c_1.2.5.0.3,c_1.2.5.0.4,c_1.2.5.0.5,score
1.2.5.0.0,2.459973932259866e-06,0.0014150003536544699,4,0.0,1.0,0.0,0.0,0.75,0.5,3
1.2.5.0.1,inf,inf,1,0.0,0.0,0.0,0.0,0.0,0.0,0
1.2.5.0.2,inf,inf,1,0.25,1.0,0.0,0.0,0.0,0.0,2
1.2.5.0.3,0.44444210662447015,0.5755058045705002,4,1.0,1.0,1.0,0.0,0.75,1.0,5
1.2.5.0.4,0.6666668038579528,0.958003175068121,4,0.25,1.0,0.0,0.0,0.0,0.25,1
1.2.5.0.5,0.8888862781163173,1.1528638848496355,4,0.25,1.0,0.0,0.0,0.25,0.0,1
