models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9587640506388361,0.00484933052370745,6,0.6445770041521681,244.05931282043457,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.9888508616553543,4.5438895594334216e-05,3,0.7762343900283524,489.62277817726135,1.0,0.0,1.0,1.0,0.0,3
Prim,0.95360901584004,0.011969783273835655,10,0.734804432837456,218.95457530021667,1.0,0.0,0.0,0.0,0.0,1
Kruskal,0.988555455851162,0.034636722441896986,3,0.7323299322964671,262.57988119125366,0.6666666666666666,0.0,0.5,0.0,0.0,2
GPrim,0.9561121994780165,0.015358345352257864,12,0.9780858810845631,451.1756012439728,1.0,1.0,1.0,1.0,0.0,4
