models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.709326360919686,0.6875434177491704,6,2.1687623735821155,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.3808372589343417,0.0058121083269279524,13,-1.0356001541356044,1.0,0.0,0.06666666666666667,0.18181818181818182,0.05,0.0,1
C,0.2941193893573633,0.10973844994589531,15,1.7255379619743945,1.0,0.46153846153846156,0.0,0.36363636363636365,0.05,0.1,3
D,0.49978727581096954,0.1592406513427997,11,4.352049164301349,1.0,0.5384615384615384,0.3333333333333333,0.0,0.2,0.25,2
E,0.28173621802095533,0.4563673268370862,20,26.263768060565905,1.0,0.5384615384615384,0.26666666666666666,0.2727272727272727,0.0,0.25,5
F,0.28243320694422874,0.4586797299748556,20,26.317101562883188,1.0,0.6153846153846154,0.3333333333333333,0.2727272727272727,0.1,0.0,4
