models,delta,spacing,nds,c_guided prim,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,0.21875000300878086,0.00017439474486175197,9,0.0,1.0,1.0,1.0,1.0,4
kruskal,0.833333350722766,1.112747981759613,7,0.0,0.0,0.375,0.8333333333333334,1.0,3
netkeys,0.2448979647779315,0.35368176961845593,8,0.0,0.2857142857142857,0.0,0.5,1.0,2
prim,0.47999999631389556,0.4082841479963708,6,0.0,0.0,0.0,0.0,0.6666666666666666,1
prufer,1.0000000047274755,1.1548128685413193,3,0.0,0.0,0.0,0.16666666666666666,0.0,0
