models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.8803418851502449,0.7559452423248505,7,0.03381856471954277,0.0,0.0,0.0,0.0,0.0,0
B,0.8754578818196139,1.187719633413604,8,0.05125896361075658,1.0,0.0,0.16666666666666666,0.16666666666666666,0.0,1
C,0.887179488544707,0.00022001501981212872,6,0.04088028826208771,1.0,0.625,0.0,0.5833333333333334,0.0,3
D,0.7459207620650019,0.28864627589441244,12,0.07143917503879796,1.0,0.75,0.16666666666666666,0.0,0.07692307692307693,2
E,0.7136752296869759,0.00011644075488474453,13,0.0595283497920228,1.0,1.0,1.0,0.75,0.0,4
