models,delta,spacing,nds,hypervolume,c_1.2.1.0.1.0,c_1.2.1.0.1.1,c_1.2.1.0.1.2,c_1.2.1.0.1.3,score
1.2.1.0.1.0,0.8641975164630378,0.9660208451831496,10,0.37472551678049254,0.0,0.375,0.125,0.0,1
1.2.1.0.1.1,0.6122448640661732,0.7070229950608611,8,0.2612176278567615,0.0,0.0,0.125,0.0,0
1.2.1.0.1.2,1.0204077833290779,1.4076232401764353,8,0.377113511817012,0.2,0.625,0.0,0.2,3
1.2.1.0.1.3,0.8641975164630378,0.9660208451831496,10,0.37472551678049254,0.0,0.375,0.125,0.0,1
