models,delta,spacing,nds,c_0.2.2.0.1.0,c_0.2.2.0.1.1,c_0.2.2.0.1.2,c_0.2.2.0.1.3,c_0.2.2.0.1.4,c_0.2.2.0.1.5,score
0.2.2.0.1.0,0.4800000219482131,0.5478372801104602,6,0.0,0.0,0.25,0.0,0.16666666666666666,0.5555555555555556,1
0.2.2.0.1.1,1.269423940778817e-07,0.0003809587110378092,4,0.3333333333333333,0.0,0.375,0.3333333333333333,0.3333333333333333,0.5555555555555556,4
0.2.2.0.1.2,4.7092956344054115e-07,0.0006584528013675169,8,0.3333333333333333,0.5,0.0,0.3333333333333333,0.8333333333333334,0.8888888888888888,5
0.2.2.0.1.3,0.4800000219482131,0.5478372801104602,6,0.0,0.0,0.25,0.0,0.16666666666666666,0.5555555555555556,1
0.2.2.0.1.4,1.1999996081939872,1.6015954186354981,6,0.16666666666666666,0.25,0.125,0.16666666666666666,0.0,0.5555555555555556,1
0.2.2.0.1.5,0.3749996774539822,0.0010208945288025346,9,0.0,0.25,0.125,0.0,0.3333333333333333,0.0,0
