models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.761577321652894,0.7684210492524295,0.00017277964358220846,6,0.01565538303642153,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.7245688435181872,0.6184210839724427,0.00014302638946346317,9,0.02252869014617502,1.0,0.0,0.5555555555555556,0.2,0.0,0.0,2
C,0.8514693236585427,0.578947411132305,0.00013623951314640603,9,0.02059148273763043,1.0,0.2222222222222222,0.0,0.1,0.0,0.0,1
D,0.8455767290867625,0.5263158552741978,0.0002114698130948517,10,0.027117167926788744,1.0,0.6666666666666666,0.7777777777777778,0.0,0.2,0.15,3
E,6.648509526294458e-05,6.451861486009204e-06,0.00045810894500062727,20,0.06289822799731137,1.0,1.0,0.8888888888888888,0.5,0.0,0.05,4
F,6.641170135283248e-05,6.452526141874682e-06,0.0004587825938156598,20,0.06290793604173195,1.0,1.0,0.8888888888888888,0.6,0.25,0.0,5
