models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.72673423899533,0.4508671651962282,6.8,1.6108389657636302,0.0,0.0,0.0,0.0,0.0,0.0
B,0.49641774931467697,0.16734422797132362,11.2,2.526097856358665,1.0,0.0,0.19722222222222224,0.1754895104895105,0.04302631578947368,1.4
C,0.5509373557346232,0.1447732637213996,9.8,0.10817440767109192,1.0,0.4397979797979798,0.0,0.27192307692307693,0.05605263157894737,2.2
D,0.5255736892001275,0.18807804624169855,10.6,4.177546615415201,1.0,0.5855555555555556,0.45555555555555555,0.0,0.08624269005847954,2.4
E,0.2191951277290852,0.20092738142465336,18.4,11.130483186879228,1.0,0.7591919191919192,0.6166666666666666,0.7559790209790209,0.0,4.0
