models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim,c_mprim
netkeys,0.32000001255173893,7.775936090188781e-05,11,0.0,0.23076923076923078,0.8888888888888888,0.2222222222222222
kruskal,4.713720563875867e-08,0.00020479289350243938,13,0.45454545454545453,0.0,0.6666666666666666,0.1111111111111111
prim,0.6562499972545464,0.9999741382224194,9,0.0,0.0,0.0,0.0
mprim,0.20761245632489372,0.00011798760280978163,18,0.36363636363636365,0.15384615384615385,0.7777777777777778,0.0
