models,delta,spacing,nds,c_netkeys,c_prufer,c_kruskal,c_prim,score
netkeys,0.15277777165027193,0.00026024481076705286,13,0.0,0.0,0.0,0.2,0
prufer,0.0,0.0,2,1.0,0.0,1.0,1.0,3
kruskal,0.13265305049028991,0.0003201045782977122,15,0.8461538461538461,0.0,0.0,0.3333333333333333,2
prim,0.33673470126961036,1.7208642349819123e-05,15,0.5384615384615384,0.0,0.26666666666666666,0.0,1
