models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.7909382591798187,0.08118600748109514,5,0.34242874640483656,0.0,0.0,0.0,0.0,0.0,0
B,0.4848821938884485,0.3160072895040206,12,4.896824289771459,1.0,0.0,0.2727272727272727,0.14285714285714285,0.10526315789473684,2
C,0.47970814326033423,0.05552067152956856,11,-1.0968748059105238,1.0,0.25,0.0,0.0,0.0,1
D,0.7205560369885878,0.09477868891047152,7,1.1495037577467695,1.0,0.5833333333333334,0.8181818181818182,0.0,0.21052631578947367,4
E,0.15480862300560802,0.16441700182109478,19,9.270281366072343,1.0,0.8333333333333334,0.8181818181818182,0.14285714285714285,0.0,3
