models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.9715242881759726,5.251709705528941,4,0.8127526224926673,170.71468257904053,0.0,0.0,0.0,0.0,0.0,0
B,0.9460636584870946,1.0954545609643287,16,1.717242716180956,1400.4685513973236,1.0,0.0,0.8333333333333334,0.4444444444444444,0.0,3
C,0.9748743766660835,0.5164513497304614,6,0.6531102630939651,290.397766828537,1.0,0.0,0.0,0.2222222222222222,0.0,1
D,0.992462302061478,3.2785963313312654,9,1.6225552132680192,620.5335919857025,1.0,0.125,0.3333333333333333,0.0,0.0,2
E,0.9069347120897875,0.4914856699537365,26,1.7776279173727882,483.91088128089905,1.0,1.0,1.0,1.0,0.0,4
