models,delta,spacing,onvg,hypervolume,time,c_netkeys,c_prufer,c_kruskal,c_prim,c_hmoea,c_gprim,score
netkeys,0.7101160402349771,0.005846940269319151,11,0.7638439437664282,64.7359230518341,0.0,0.5,0.0,0.18181818181818182,0.5,0.0,2
prufer,0.8446380051602245,0.003505361482267218,6,0.5349392515178151,40.9700129032135,0.18181818181818182,0.0,0.0,0.0,0.4166666666666667,0.0,1
kruskal,0.721001366276566,0.01966161890726398,11,0.8504855346344984,60.29647707939148,0.8181818181818182,0.6666666666666666,0.0,0.5454545454545454,0.8333333333333334,0.05,4
prim,0.7253908748210456,0.005004642020313797,11,0.7696306915146893,43.68278098106384,0.8181818181818182,0.6666666666666666,0.18181818181818182,0.0,0.75,0.0,3
hmoea,0.711731035365923,0.019079311211840255,12,0.8399674731147405,96.98999190330505,0.36363636363636365,0.0,0.18181818181818182,0.09090909090909091,0.0,0.05,0
gprim,0.5396086098568665,0.04907064466761267,20,0.8868776706702883,50.568957805633545,1.0,1.0,0.9090909090909091,1.0,0.9166666666666666,0.0,5
