models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.9720156024023303,0.0027386408231872147,6,0.02805398217402047,0.0,0.0,0.0,0.0,0.0,0
B,0.9415520459555,0.005647224937991532,15,0.13216412069456776,0.6666666666666666,0.0,0.0,0.0,0.0,1
C,0.9744033649745816,0.006166504292998909,6,0.03337129117452295,1.0,0.26666666666666666,0.0,0.14285714285714285,0.0,3
D,0.9681815814142559,0.0059283108869040285,14,0.12375498885298977,1.0,1.0,0.0,0.0,0.0,2
E,0.7595849022882036,0.002455554613319914,98,0.38432561621732997,1.0,1.0,1.0,0.9285714285714286,0.0,4
