models,delta,spacing,onvg,hypervolume,c_1.6.1.0.4.0,c_1.6.1.0.4.1,c_1.6.1.0.4.2,c_1.6.1.0.4.3,c_1.6.1.0.4.4,c_1.6.1.0.4.5,c_1.6.1.0.4.6,c_1.6.1.0.4.7,score
1.6.1.0.4.0,0.8803417857720106,0.0013418217444404205,7,0.11053673693586476,0.0,0.625,0.875,1.0,1.0,1.0,1.0,1.0,7
1.6.1.0.4.1,0.8424907404056338,0.46267894944868393,8,0.12310978785091335,0.42857142857142855,0.0,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,6
1.6.1.0.4.2,0.8388278488534839,0.0004367907973452392,8,0.08592879442773432,0.14285714285714285,0.0,0.0,0.8888888888888888,1.0,1.0,1.0,1.0,5
1.6.1.0.4.3,0.8461538989869669,1.013930804116522,9,0.13148261385345772,0.0,0.0,0.0,0.0,0.6666666666666666,0.8571428571428571,0.75,0.8333333333333334,4
1.6.1.0.4.4,0.8871794853811555,0.5161993642816906,6,0.0820248204511009,0.0,0.0,0.0,0.3333333333333333,0.0,0.7142857142857143,0.8333333333333334,0.6666666666666666,3
1.6.1.0.4.5,0.9145298402750303,1.51169775553888,7,0.1196354806738715,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.9166666666666666,0.6666666666666666,2
1.6.1.0.4.6,0.7389277996343026,0.2891611009475141,12,0.12754890461570717,0.0,0.0,0.0,0.1111111111111111,0.0,0.14285714285714285,0.0,0.5,0
1.6.1.0.4.7,0.8564102644616607,0.5167661513700367,6,0.10085199220251134,0.0,0.0,0.0,0.1111111111111111,0.0,0.2857142857142857,0.5833333333333334,0.0,1
