models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.8145151691877921,0.801052638668005,0.5098091700013303,4.9,0.012004440838381415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.6949309762354559,0.5085175628309052,0.029046548322365175,10.5,0.029881076223713922,0.9607142857142857,0.0,0.2793456543456544,0.23268939393939397,0.02,0.005,1.4
C,0.4644960204272185,0.43076927651567265,0.00011108018848864177,11.9,0.025544971336476863,0.9857142857142858,0.49033605283605286,0.0,0.21164918414918418,0.03,0.01,2.0
D,0.5348047077930177,0.4338387157161977,0.0884031316157857,12.0,0.0323428196733425,0.9857142857142858,0.6303321678321678,0.47124542124542124,0.0,0.10999999999999999,0.04,2.6
E,6.582074855719461e-05,6.450756001601683e-06,0.0004585904602825845,20.0,0.0629370408276193,1.0,0.8892773892773894,0.6636779886779887,0.5621416083916083,0.0,0.06,4.0
F,6.566698754976795e-05,6.536200538289009e-06,0.00045893969410195853,20.0,0.0629387809354737,1.0,0.9207070707070706,0.6953879453879455,0.6683216783216783,0.28,0.0,4.8
