models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim,c_guided prim,score
netkeys,2.9425858438791862e-08,0.0001546642264088957,11,0.0,0.0,0.0,0.0,0
kruskal,0.2187499674679738,0.3332777179086596,9,1.0,0.0,0.8333333333333334,0.0,2
prim,0.32000002490468615,0.4084579495929327,6,0.8181818181818182,0.0,0.0,0.0,1
guided prim,0.15277753255498286,0.1998849088343731,25,1.0,1.0,1.0,0.0,3
