models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9391427405296802,0.022084960173684054,4,0.38699570026698715,74.82115507125854,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.9950792285781201,0.10495292134164275,4,0.5940672944411912,73.71645092964172,1.0,0.0,1.0,0.0,0.0,2
Prim,1.0,inf,1,0.5563704709276656,110.06335544586182,1.0,0.0,0.0,0.0,0.0,1
Kruskal,1.0253418696497314,0.09292142663610788,5,0.6625867076077957,112.43037414550781,1.0,0.5,1.0,0.0,0.0,3
GPrim,0.9518441124443717,0.08739991658401196,5,0.8091478905274945,183.42555904388428,1.0,1.0,1.0,1.0,0.0,4
