models,delta,spacing,onvg,hypervolume,c_1.6.9.0.4.0,c_1.6.9.0.4.1,c_1.6.9.0.4.2,c_1.6.9.0.4.3,score
1.6.9.0.4.0,0.12820739660681052,0.0006964097629492546,35,0.25901665572449317,0.0,0.32,0.38235294117647056,0.4857142857142857,3
1.6.9.0.4.1,0.38461542575065644,1.677574537887255e-05,25,0.09618572868610545,0.02857142857142857,0.0,0.058823529411764705,0.11428571428571428,0
1.6.9.0.4.2,0.15384637218440775,0.00027700066464432066,34,0.1855350772657679,0.22857142857142856,0.4,0.0,0.2857142857142857,2
1.6.9.0.4.3,0.1282063617979011,0.0007037938470425963,35,0.2597668420189021,0.17142857142857143,0.32,0.20588235294117646,0.0,1
