models,delta,spacing,onvg,hypervolume,c_netkeys,c_gprim,c_gprim2,score
netkeys,0.6691730022834594,9.82647851401823e-05,8,0.03297017155588614,0.0,0.0,0.0,0
gprim,6.598622623014131e-06,0.0008527729210901374,20,0.12600275020905985,1.0,0.0,0.2857142857142857,2
gprim2,0.315790492650766,4.768575801022015e-05,14,0.050441353378880796,0.875,0.15,0.0,1
