models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.9682142505446034,0.0015137097223150286,3,0.02582199101579144,22.765966415405273,0.0,0.0,0.0,0.0,0.0,0
B,0.9504582936405385,0.010757598111134404,4,0.05824746884346252,24.162469148635864,1.0,0.0,0.42857142857142855,0.0,0.0,2
C,0.9183447693105568,0.020010445669325753,7,0.11795116642756245,27.684080839157104,1.0,0.25,0.0,0.14285714285714285,0.0,1
D,0.92126516484184,0.041364903458149783,7,0.13265075339919727,33.8998703956604,1.0,0.75,0.5714285714285714,0.0,0.125,3
E,0.676422528623815,0.010794751369575152,24,0.34254691265821513,41.31872010231018,1.0,1.0,1.0,0.42857142857142855,0.0,4
