models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.9487179503895133,0.5775406160499763,3,0.01631772483597048,17.52847146987915,0.0,0.0,0.0,0.0,0.0,0
B,0.794871792610862,0.316162589645829,10,0.06770511284684017,23.507049560546875,1.0,0.0,0.3,0.2222222222222222,0.0,1
C,0.789173804232011,2.387509258503774e-05,10,0.04287366962713816,27.695332765579224,1.0,0.4,0.0,0.1111111111111111,0.0,2
D,0.814102580336125,0.00014471980693347105,9,0.05119439927200141,34.225589752197266,1.0,0.6,0.5,0.0,0.0,3
E,0.35897451832053984,0.00028547763705184646,26,0.15233213081860708,40.84207272529602,1.0,1.0,1.0,1.0,0.0,4
