models,delta,spacing,nds,c_netkeys-old,c_kruskal-old,c_netkeys-new,c_kruskal-new
netkeys-old,0.15277777165027193,0.00026024481076705286,13,0.0,0.0,0.4444444444444444,0.4666666666666667
kruskal-old,0.13265305049028991,0.0003201045782977122,15,0.8461538461538461,0.0,0.7777777777777778,1.0
netkeys-new,0.21875000069334172,6.142811388714195e-05,9,0.23076923076923078,0.13333333333333333,0.0,0.4666666666666667
kruskal-new,0.24489795349777937,0.00014734030685019107,15,0.3076923076923077,0.0,0.2222222222222222,0.0
