models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim,c_guided prim,score
netkeys,0.1527777704974788,0.00020888684335774866,13,0.0,0.0,0.0,0.0,0
kruskal,0.21874995584990492,0.0004970742846789018,9,0.6153846153846154,0.0,0.25,0.0,2
prim,2.9359796276701948e-08,0.00015685970884937625,8,0.8461538461538461,0.2222222222222222,0.0,0.0,1
guided prim,0.08677682196770946,0.0008496072827442917,23,1.0,1.0,1.0,0.0,3
