models,delta,spacing,nds,c_guided prim,c_guided prim2,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,4.272489169954152e-05,0.006284094280197904,9,0.0,0.42857142857142855,1.0,1.0,0.0,1.0,4
guided prim2,4.652232984033352e-08,0.00010109646458123945,7,0.0,0.0,0.0,0.16666666666666666,0.2,1.0,2
kruskal,5.150634697224733e-06,0.0020479835696448766,8,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,2
netkeys,0.7199974605700907,0.8353981610308544,6,0.0,0.0,0.0,0.0,0.0,1.0,1
prim,0.7499999978606452,0.8944335180058895,5,0.0,0.5714285714285714,0.0,0.3333333333333333,0.0,1.0,3
prufer,inf,inf,1,0.0,0.0,0.0,0.0,0.0,0.0,0
