models,delta,spacing,nds,c_netkeys,c_prim,c_kruskal,c_guided prim
netkeys,2.612262204080038e-08,0.00014894311940985192,10,0.0,0.3333333333333333,0.14285714285714285,0.0
prim,0.47999999631536816,0.5163896604177245,6,0.2,0.0,0.14285714285714285,0.0
kruskal,0.6666665995994662,0.7558412675104044,7,0.5,0.6666666666666666,0.0,0.0
guided prim,0.7346938729966498,9.805467818492175e-05,8,1.0,1.0,0.8571428571428571,0.0
