models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.779368024404045,0.7924561676632577,0.40887250294008765,5.4,0.024960875696323076,0.0,0.0,0.0,0.0,0.0,0.0
B,0.7358774599017031,0.6441354275313225,0.11532752466479908,8.1,0.0350572903118955,1.0,0.0,0.38422077922077924,0.3654761904761904,0.006666666666666668,2.0
C,0.8313668098795904,0.7195489302941803,0.21148045102728436,6.6,0.02934043874719693,1.0,0.4353571428571428,0.0,0.43392857142857144,0.00625,2.0
D,0.9386817973904396,0.7169424330084532,0.13725495449921896,6.6,0.030077796709092768,1.0,0.35690476190476195,0.40672077922077926,0.0,0.0,1.9
E,0.25212106301421083,0.21434012584414738,0.05159607246559881,16.1,0.1128219966639468,1.0,0.9875,0.975,1.0,0.0,4.0
