models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.7671288744231053,0.7743859697666442,0.470360440257035,5.7,0.015127625777598233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.5699792772058151,0.5164912681063496,0.0001506378978160554,10.5,0.024828463120887025,0.975,0.0,0.21039682539682542,0.1494222444222444,0.015000000000000003,0.005,1.2
C,0.4078491187403549,0.4052632003383126,7.171694694261623e-05,12.3,0.024193354266885358,0.9875,0.4713558663558664,0.0,0.2398634698634699,0.025,0.02,2.0
D,0.49643973989348134,0.4284798281479141,0.08957604414365451,12.1,0.030246798818904887,0.9875,0.6948212898212899,0.4141197691197691,0.0,0.07500000000000001,0.045,2.8
E,6.616554266991783e-05,6.3367541851421645e-06,0.0004583809562609605,20.0,0.06290464377895921,0.9875,0.8662626262626263,0.5105122655122655,0.6326456876456876,0.0,0.13999999999999999,4.2
F,6.601139255267278e-05,6.465091917894635e-06,0.00045817918435778,20.0,0.0628909953638624,0.9875,0.8836868686868687,0.5334920634920635,0.6596969696969697,0.23500000000000004,0.0,4.6
