models,igd,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.09128929969506139,0.7947671037928318,0.0457354998425835,8,0.6217820405786751,16.902919054031372,0.0,0.25,0.0,0.2222222222222222,0.0,0
NetKeys,0.0902981864665449,0.7605095801453572,0.022995892749116408,8,0.6510275983159935,23.22808313369751,0.5,0.0,0.2222222222222222,0.2222222222222222,0.0,1
Prim,0.09361718066154093,0.7755615045401248,0.024215663563733402,9,0.6317035075039285,18.10091495513916,0.875,0.5,0.0,0.5555555555555556,0.0,3
Kruskal,0.089169955116369,0.7776898276588198,0.03381878369680769,9,0.6226028240216256,20.189175605773926,0.625,0.25,0.2222222222222222,0.0,0.0,2
GPrim,0.00040762776239159845,0.9111314612056728,0.23781252363339403,20,2.4851691774615308,23.98267436027527,1.0,0.75,0.8888888888888888,1.0,0.0,4
