models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.7615773319045072,0.7684210599422694,9.282221678617895e-05,6,0.01201968517810614,0.0,0.0,0.0,0.0,0.0,0
B,0.4924429059786222,0.5157894901700486,0.3014697545538209,11,0.029777418279002987,1.0,0.0,0.3333333333333333,0.23076923076923078,0.0,1
C,0.6519202577468729,0.578947391623487,0.0001431587387449705,9,0.02009999985802799,1.0,0.5454545454545454,0.0,0.38461538461538464,0.0,3
D,0.37749174085122633,0.4122807624193422,0.000128903536487526,13,0.03311300155627146,1.0,0.6363636363636364,0.3333333333333333,0.0,0.0,2
E,0.27386133334504564,0.2105274023125933,4.426899556826295e-05,16,0.029602858942093246,1.0,0.8181818181818182,0.8888888888888888,0.7692307692307693,0.0,4
