models,delta,spacing,nds,c_1.2.2.0.1.0,c_1.2.2.0.1.1,c_1.2.2.0.1.2,c_1.2.2.0.1.3,score
1.2.2.0.1.0,1.8906258442758568e-07,0.0004323067012801158,10,0.0,0.4444444444444444,0.2222222222222222,0.4,0
1.2.2.0.1.1,0.21874995453156582,0.000533922763735301,9,0.5,0.0,0.4444444444444444,0.4,2
1.2.2.0.1.2,0.21874972147552704,0.0012404369000588082,9,0.4,0.3333333333333333,0.0,0.3,1
1.2.2.0.1.3,0.19753064348865265,0.0012143685177182408,10,0.5,0.4444444444444444,0.4444444444444444,0.0,3
