models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.9431943657433295,0.0,2,0.03560163966486642,118.19291806221008,0.0,0.0,0.0,0.0,0.0,0
B,0.9027763953972421,0.0,2,0.06829834092474149,168.1175684928894,1.0,0.0,0.0,0.0,0.0,1
C,0.9798006149893204,3.204937810639273e-17,4,0.019300553558314216,109.57563495635986,1.0,1.0,0.0,0.0,0.0,2
D,1.0,inf,1,0.0,126.35081768035889,1.0,0.5,0.0,0.0,0.0,2
E,0.9070631585092566,0.1829365414659222,6,0.4241300244318498,225.43792390823364,1.0,1.0,1.0,1.0,0.0,4
