models,delta,spacing,onvg,hypervolume,c_1.6.9.0.0.1_0.5,c_1.6.9.0.1.1_0.6,c_1.6.9.0.2.1_0.7,c_1.6.9.0.3.1_0.8,c_1.6.9.0.4.1_0.9,c_1.6.9.0.5.1_1.0,score
1.6.9.0.0.1_0.5,0.7948724378083568,0.0024782700162881083,9,0.3069905738871822,0.0,0.4444444444444444,0.5714285714285714,0.5,0.6,0.6666666666666666,4
1.6.9.0.1.1_0.6,0.7948725662464269,0.002444017946085704,9,0.307036469766955,0.5555555555555556,0.0,0.7142857142857143,0.875,0.6,1.0,5
1.6.9.0.2.1_0.7,0.8461539647305194,0.0006428915039234677,7,0.1129460775101795,0.3333333333333333,0.1111111111111111,0.0,0.5,0.6,1.0,3
1.6.9.0.3.1_0.8,0.8205131680713431,0.0017438061415763623,8,0.20449958516850683,0.3333333333333333,0.1111111111111111,0.42857142857142855,0.0,0.0,0.6666666666666666,1
1.6.9.0.4.1_0.9,0.8974359473430538,0.0001303984477340749,5,0.05149074576837867,0.2222222222222222,0.2222222222222222,0.2857142857142857,0.5,0.0,0.6666666666666666,2
1.6.9.0.5.1_1.0,0.8717949717174632,0.0010611688737158197,6,0.09838467277602962,0.1111111111111111,0.0,0.0,0.125,0.0,0.0,0
