models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9301521062341935,0.002662872506786535,6,0.5147206510632792,26.068164587020874,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.9142183310624631,0.01296051407286419,6,0.6122757276255951,39.773170709609985,1.0,0.0,0.1111111111111111,0.14285714285714285,0.0,1
Prim,0.8947134946782392,0.00854568921041935,9,0.6137685249424959,28.367709159851074,1.0,0.8333333333333334,0.0,0.14285714285714285,0.0,2
Kruskal,0.9185171773846927,0.009074559599010634,7,0.5889920536686087,34.59210681915283,1.0,0.5,0.3333333333333333,0.0,0.0,3
GPrim,0.5381636140125716,0.005990422445577228,35,0.8739517338005168,43.06881618499756,1.0,1.0,1.0,1.0,0.0,4
