Instance,onvg_A,onvg_B,onvg_C,onvg_D,onvg_E,onvg_F,delta_A,delta_B,delta_C,delta_D,delta_E,delta_F,hypervolume_A,hypervolume_B,hypervolume_C,hypervolume_D,hypervolume_E,hypervolume_F
NIn1,$6.2 \pm 1.08$,$10.9 \pm 1.92$,$9.5 \pm 2.2$,$10.3 \pm 1.9$,$18.7 \pm 1.27$,$19.6 \pm 0.663$,$0.755 \pm 0.0549$,$0.495 \pm 0.101$,$0.569 \pm 0.113$,$0.515 \pm 0.0969$,$0.0776 \pm 0.0802$,$0.0211 \pm 0.0349$,$0.0157 \pm 0.00319$,$0.0241 \pm 0.00446$,$0.0193 \pm 0.00457$,$0.0244 \pm 0.00736$,$0.0477 \pm 0.0106$,$0.0567 \pm 0.00965$
NIn2,$5.4 \pm 0.8$,$8.1 \pm 1.3$,$6.6 \pm 2.06$,$6.6 \pm 1.5$,$15.4 \pm 1.36$,$16.1 \pm 0.943$,$0.792 \pm 0.0495$,$0.644 \pm 0.0746$,$0.72 \pm 0.105$,$0.717 \pm 0.0796$,$0.26 \pm 0.0823$,$0.214 \pm 0.058$,$0.025 \pm 0.00492$,$0.0351 \pm 0.00857$,$0.0293 \pm 0.0104$,$0.0301 \pm 0.0108$,$0.103 \pm 0.02$,$0.113 \pm 0.0034$
NIn3,$5.3 \pm 1.62$,$10.1 \pm 1.58$,$9.5 \pm 0.922$,$10.7 \pm 1.68$,$19.2 \pm 1.25$,$19.8 \pm 0.4$,$0.791 \pm 0.088$,$0.54 \pm 0.097$,$0.561 \pm 0.0465$,$0.502 \pm 0.097$,$0.0421 \pm 0.0657$,$0.0105 \pm 0.0211$,$0.0134 \pm 0.00389$,$0.0227 \pm 0.00366$,$0.0204 \pm 0.00389$,$0.0256 \pm 0.00468$,$0.0535 \pm 0.0118$,$0.0593 \pm 0.00728$
NIn4,$5.6 \pm 1.28$,$8.6 \pm 1.2$,$7.5 \pm 1.75$,$7.6 \pm 0.917$,$17.6 \pm 1.2$,$16.7 \pm 1.49$,$0.759 \pm 0.0653$,$0.62 \pm 0.0644$,$0.677 \pm 0.0988$,$0.66 \pm 0.0538$,$0.136 \pm 0.0665$,$0.174 \pm 0.0782$,$0.0225 \pm 0.00462$,$0.0361 \pm 0.00718$,$0.0345 \pm 0.0105$,$0.0311 \pm 0.00342$,$0.101 \pm 0.0242$,$0.0836 \pm 0.0249$
NIn5,$5.3 \pm 1$,$10.8 \pm 1.47$,$8 \pm 1.55$,$9.1 \pm 1.3$,$16.3 \pm 2.41$,$18.5 \pm 1.2$,$0.785 \pm 0.0732$,$0.501 \pm 0.0878$,$0.667 \pm 0.0756$,$0.603 \pm 0.0617$,$0.22 \pm 0.142$,$0.0836 \pm 0.063$,$0.0252 \pm 0.00892$,$0.043 \pm 0.00667$,$0.0348 \pm 0.00793$,$0.0415 \pm 0.00786$,$0.0745 \pm 0.0222$,$0.0959 \pm 0.0262$
NIn6,$5.5 \pm 1.02$,$10.8 \pm 0.98$,$10.3 \pm 1.27$,$10.1 \pm 2.02$,$18.7 \pm 1.35$,$19.5 \pm 1.2$,$0.745 \pm 0.0484$,$0.505 \pm 0.0608$,$0.527 \pm 0.0672$,$0.528 \pm 0.118$,$0.073 \pm 0.0776$,$0.0263 \pm 0.0634$,$0.0152 \pm 0.00331$,$0.0258 \pm 0.0029$,$0.0239 \pm 0.0039$,$0.023 \pm 0.00448$,$0.0485 \pm 0.012$,$0.0577 \pm 0.0109$
