Instance,onvg_1.6.6.0.0.1_0.5,onvg_1.6.6.0.1.1_0.6,onvg_1.6.6.0.2.1_0.7,onvg_1.6.6.0.3.1_0.8,onvg_1.6.6.0.4.1_0.9,onvg_1.6.6.0.5.1_1.0,delta_1.6.6.0.0.1_0.5,delta_1.6.6.0.1.1_0.6,delta_1.6.6.0.2.1_0.7,delta_1.6.6.0.3.1_0.8,delta_1.6.6.0.4.1_0.9,delta_1.6.6.0.5.1_1.0,hypervolume_1.6.6.0.0.1_0.5,hypervolume_1.6.6.0.1.1_0.6,hypervolume_1.6.6.0.2.1_0.7,hypervolume_1.6.6.0.3.1_0.8,hypervolume_1.6.6.0.4.1_0.9,hypervolume_1.6.6.0.5.1_1.0
small_ga-dem1_r25_1_0,$6.3 \pm 1.55$,$6.2 \pm 1.4$,$6.3 \pm 1.55$,$6.3 \pm 1.9$,$6.3 \pm 1.55$,$6.3 \pm 1.55$,$0.875 \pm 0.041$,$0.875 \pm 0.0403$,$0.875 \pm 0.041$,$0.874 \pm 0.0434$,$0.875 \pm 0.041$,$0.875 \pm 0.041$,$0.0393 \pm 0.0113$,$0.0393 \pm 0.0115$,$0.0392 \pm 0.0113$,$0.0382 \pm 0.0139$,$0.0392 \pm 0.0113$,$0.0391 \pm 0.0114$
small_ga-dem4_r25_1_40,$4.8 \pm 1.25$,$4.8 \pm 1.25$,$4.8 \pm 1.25$,$4.7 \pm 1.27$,$4.8 \pm 1.25$,$4.5 \pm 1.02$,$0.906 \pm 0.0373$,$0.906 \pm 0.0373$,$0.906 \pm 0.0373$,$0.909 \pm 0.0338$,$0.906 \pm 0.0373$,$0.918 \pm 0.0393$,$0.0903 \pm 0.0239$,$0.0914 \pm 0.0251$,$0.0911 \pm 0.0242$,$0.0914 \pm 0.0248$,$0.0902 \pm 0.0241$,$0.09 \pm 0.025$
small_no-dem2_r25_1_40,$4.3 \pm 1$,$4.3 \pm 1$,$4.3 \pm 1$,$4.3 \pm 1$,$4.3 \pm 1$,$4.3 \pm 1$,$0.905 \pm 0.0354$,$0.905 \pm 0.0354$,$0.905 \pm 0.0354$,$0.905 \pm 0.0354$,$0.905 \pm 0.0354$,$0.905 \pm 0.0354$,$0.0664 \pm 0.0143$,$0.0663 \pm 0.0146$,$0.0664 \pm 0.0146$,$0.0663 \pm 0.0143$,$0.0662 \pm 0.0156$,$0.0658 \pm 0.015$
small_no-dem3_r25_1_0,$5.5 \pm 1.12$,$5.5 \pm 1.12$,$5.5 \pm 1.12$,$5.5 \pm 1.12$,$5.5 \pm 1.12$,$5.5 \pm 1.12$,$0.882 \pm 0.0261$,$0.882 \pm 0.0261$,$0.882 \pm 0.0261$,$0.882 \pm 0.0261$,$0.882 \pm 0.0261$,$0.882 \pm 0.0261$,$0.0343 \pm 0.00973$,$0.0343 \pm 0.00967$,$0.0343 \pm 0.00971$,$0.0343 \pm 0.00971$,$0.0343 \pm 0.00969$,$0.0343 \pm 0.00972$
small_uu-dem4_r25_1_0,$4 \pm 1.26$,$4 \pm 1.26$,$4 \pm 1.26$,$4 \pm 1.26$,$4.1 \pm 1.14$,$4 \pm 1.26$,$0.909 \pm 0.0335$,$0.909 \pm 0.0335$,$0.909 \pm 0.0335$,$0.909 \pm 0.0335$,$0.909 \pm 0.0335$,$0.909 \pm 0.0335$,$0.026 \pm 0.00822$,$0.026 \pm 0.00823$,$0.0262 \pm 0.00798$,$0.026 \pm 0.00823$,$0.0265 \pm 0.00772$,$0.026 \pm 0.00826$
