Instance,1.6.6.0.0.1_0.5-mean,1.6.6.0.0.1_0.5-std,1.6.6.0.1.1_0.6-mean,1.6.6.0.1.1_0.6-std,1.6.6.0.2.1_0.7-mean,1.6.6.0.2.1_0.7-std,1.6.6.0.3.1_0.8-mean,1.6.6.0.3.1_0.8-std,1.6.6.0.4.1_0.9-mean,1.6.6.0.4.1_0.9-std,1.6.6.0.5.1_1.0-mean,1.6.6.0.5.1_1.0-std
small_ga-dem1_r25_1_0,\textbf{6.3},1.6,6.2,1.4,\textbf{6.3},1.6,\textbf{6.3},1.9,\textbf{6.3},1.6,\textbf{6.3},1.6
small_ga-dem4_r25_1_40,\textbf{4.8},1.2,\textbf{4.8},1.2,\textbf{4.8},1.2,4.7,1.3,\textbf{4.8},1.2,4.5,1
small_no-dem2_r25_1_40,\textbf{4.3},1,\textbf{4.3},1,\textbf{4.3},1,\textbf{4.3},1,\textbf{4.3},1,\textbf{4.3},1
small_no-dem3_r25_1_0,\textbf{5.5},1.1,\textbf{5.5},1.1,\textbf{5.5},1.1,\textbf{5.5},1.1,\textbf{5.5},1.1,\textbf{5.5},1.1
small_uu-dem4_r25_1_0,4,1.3,4,1.3,4,1.3,4,1.3,\textbf{4.1},1.1,4,1.3
