Instance,1.6.6.0.0.1_0.5-mean,1.6.6.0.0.1_0.5-std,1.6.6.0.1.1_0.6-mean,1.6.6.0.1.1_0.6-std,1.6.6.0.2.1_0.7-mean,1.6.6.0.2.1_0.7-std,1.6.6.0.3.1_0.8-mean,1.6.6.0.3.1_0.8-std,1.6.6.0.4.1_0.9-mean,1.6.6.0.4.1_0.9-std,1.6.6.0.5.1_1.0-mean,1.6.6.0.5.1_1.0-std
small_ga-dem1_r25_1_0,0.875,0.041,0.875,0.04,0.875,0.041,\textbf{0.874},0.043,0.875,0.041,0.875,0.041
small_ga-dem4_r25_1_40,0.906,0.037,\textbf{0.906},0.037,0.906,0.037,0.909,0.034,0.906,0.037,0.918,0.039
small_no-dem2_r25_1_40,0.905,0.035,0.905,0.035,0.905,0.035,0.905,0.035,0.905,0.035,\textbf{0.905},0.035
small_no-dem3_r25_1_0,\textbf{0.882},0.026,\textbf{0.882},0.026,\textbf{0.882},0.026,\textbf{0.882},0.026,\textbf{0.882},0.026,\textbf{0.882},0.026
small_uu-dem4_r25_1_0,0.909,0.034,0.909,0.034,\textbf{0.909},0.034,0.909,0.034,0.909,0.034,0.909,0.034
