Instance,1.6.6.0.0.1_0.5-mean,1.6.6.0.0.1_0.5-std,1.6.6.0.1.1_0.6-mean,1.6.6.0.1.1_0.6-std,1.6.6.0.2.1_0.7-mean,1.6.6.0.2.1_0.7-std,1.6.6.0.3.1_0.8-mean,1.6.6.0.3.1_0.8-std,1.6.6.0.4.1_0.9-mean,1.6.6.0.4.1_0.9-std,1.6.6.0.5.1_1.0-mean,1.6.6.0.5.1_1.0-std
small_ga-dem1_r25_1_0,\textbf{0.0393},0.011,0.0393,0.012,0.0392,0.011,0.0382,0.014,0.0392,0.011,0.0391,0.011
small_ga-dem4_r25_1_40,0.0903,0.024,\textbf{0.0914},0.025,0.0911,0.024,0.0914,0.025,0.0902,0.024,0.09,0.025
small_no-dem2_r25_1_40,0.0664,0.014,0.0663,0.015,\textbf{0.0664},0.015,0.0663,0.014,0.0662,0.016,0.0658,0.015
small_no-dem3_r25_1_0,0.0343,9.7e-03,0.0343,9.7e-03,0.0343,9.7e-03,0.0343,9.7e-03,0.0343,9.7e-03,\textbf{0.0343},9.7e-03
small_uu-dem4_r25_1_0,0.026,8.2e-03,0.026,8.2e-03,0.0262,8.0e-03,0.026,8.2e-03,\textbf{0.0265},7.7e-03,0.026,8.3e-03
