models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9499676866291167,0.004493248108241103,9,0.7256356165293891,120.36826086044312,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.9562424810716759,0.012152968815901732,11,0.7948259052756386,224.1519594192505,1.0,0.0,0.6363636363636364,0.0625,0.0,2
Prim,0.9464305882406195,0.004618991315595601,11,0.7272285259283685,149.87804174423218,1.0,0.18181818181818182,0.0,0.0625,0.0,1
Kruskal,0.9479472751081366,0.021309704797998416,16,0.9049658029668224,159.08016657829285,0.7777777777777778,0.45454545454545453,0.2727272727272727,0.0,0.0,3
GPrim,0.7763287008344467,0.028412585119348247,71,0.96677663026794,195.91195464134216,1.0,1.0,1.0,1.0,0.0,4
