models,igd,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.05064091641634534,0.8439120576254279,0.04043808266637376,5.2,0.1699089025234593,13.232091379165649,0.0,0.0,0.0,0.0,0.0,0.0
B,0.04113731199029615,0.7585076477853686,0.03769148645094258,9.4,0.28573015020223164,23.699784636497498,0.9800000000000001,0.0,0.1518831168831169,0.13841491841491843,0.01,1.0
C,0.03913480807960028,0.7155908447800174,0.023147741990168835,11.0,0.2840985925631473,17.881879091262817,1.0,0.5375,0.0,0.1430924630924631,0.015000000000000003,1.9
D,0.03868101361382269,0.7166682859546675,0.015828340183948113,10.8,0.2784444593909126,20.85234625339508,1.0,0.5738888888888889,0.40767857142857145,0.0,0.025,3.0
E,0.016989315633481748,0.6435596684694462,0.1175775568584927,20.0,0.8066965450807946,25.535519313812255,1.0,0.8605555555555556,0.568474025974026,0.44846930846930844,0.0,4.0
