Instance,onvg_1.6.4.0.0.1_0.5,onvg_1.6.4.0.1.1_0.6,onvg_1.6.4.0.2.1_0.7,onvg_1.6.4.0.3.1_0.8,onvg_1.6.4.0.4.1_0.9,onvg_1.6.4.0.5.1_1.0,delta_1.6.4.0.0.1_0.5,delta_1.6.4.0.1.1_0.6,delta_1.6.4.0.2.1_0.7,delta_1.6.4.0.3.1_0.8,delta_1.6.4.0.4.1_0.9,delta_1.6.4.0.5.1_1.0,hypervolume_1.6.4.0.0.1_0.5,hypervolume_1.6.4.0.1.1_0.6,hypervolume_1.6.4.0.2.1_0.7,hypervolume_1.6.4.0.3.1_0.8,hypervolume_1.6.4.0.4.1_0.9,hypervolume_1.6.4.0.5.1_1.0
small_ga-dem1_r25_1_0,$10.2 \pm 1.66$,$9.7 \pm 1.79$,$10.1 \pm 0.7$,$10.5 \pm 2.11$,$10.4 \pm 1.28$,$11.2 \pm 2.86$,$0.791 \pm 0.0421$,$0.8 \pm 0.0403$,$0.789 \pm 0.027$,$0.778 \pm 0.062$,$0.783 \pm 0.0286$,$0.764 \pm 0.0668$,$0.0537 \pm 0.00692$,$0.0464 \pm 0.00986$,$0.0519 \pm 0.00634$,$0.0517 \pm 0.00844$,$0.0479 \pm 0.00774$,$0.0582 \pm 0.0115$
small_ga-dem4_r25_1_40,$5.4 \pm 1.11$,$5.8 \pm 0.748$,$7 \pm 1.67$,$5.8 \pm 1.47$,$6.5 \pm 1.28$,$6.8 \pm 1.08$,$0.89 \pm 0.0287$,$0.89 \pm 0.0217$,$0.854 \pm 0.045$,$0.887 \pm 0.0351$,$0.865 \pm 0.0286$,$0.873 \pm 0.0341$,$0.0692 \pm 0.0213$,$0.0773 \pm 0.0235$,$0.0798 \pm 0.0211$,$0.065 \pm 0.0165$,$0.0726 \pm 0.0143$,$0.083 \pm 0.0265$
small_no-dem2_r25_1_40,$3.1 \pm 1.14$,$3.3 \pm 1$,$4.8 \pm 0.872$,$3.9 \pm 1.51$,$4.5 \pm 0.671$,$4.6 \pm 1.74$,$0.947 \pm 0.0272$,$0.94 \pm 0.0226$,$0.914 \pm 0.0201$,$0.928 \pm 0.031$,$0.921 \pm 0.0237$,$0.916 \pm 0.0432$,$0.0538 \pm 0.017$,$0.0428 \pm 0.0146$,$0.0717 \pm 0.0236$,$0.0531 \pm 0.0231$,$0.0612 \pm 0.019$,$0.063 \pm 0.0277$
small_no-dem3_r25_1_0,$8.1 \pm 1.51$,$7.8 \pm 1.66$,$7.9 \pm 1.81$,$8.5 \pm 1.91$,$7.3 \pm 0.64$,$8 \pm 1.26$,$0.832 \pm 0.0261$,$0.838 \pm 0.0415$,$0.835 \pm 0.0397$,$0.824 \pm 0.0548$,$0.847 \pm 0.0192$,$0.845 \pm 0.0367$,$0.0383 \pm 0.0114$,$0.0375 \pm 0.00992$,$0.0401 \pm 0.0105$,$0.0436 \pm 0.00983$,$0.0361 \pm 0.00824$,$0.0395 \pm 0.00764$
small_uu-dem4_r25_1_0,$7.3 \pm 1.9$,$6.3 \pm 0.781$,$6.3 \pm 1.68$,$6.7 \pm 1.1$,$6.4 \pm 1.02$,$7 \pm 1.41$,$0.849 \pm 0.0442$,$0.866 \pm 0.0191$,$0.868 \pm 0.044$,$0.863 \pm 0.0319$,$0.873 \pm 0.0198$,$0.855 \pm 0.0281$,$0.0369 \pm 0.0167$,$0.028 \pm 0.00601$,$0.0281 \pm 0.00778$,$0.0315 \pm 0.00735$,$0.0311 \pm 0.009$,$0.0316 \pm 0.011$
