Instance,1.6.4.0.0.1_0.5-mean,1.6.4.0.0.1_0.5-std,1.6.4.0.1.1_0.6-mean,1.6.4.0.1.1_0.6-std,1.6.4.0.2.1_0.7-mean,1.6.4.0.2.1_0.7-std,1.6.4.0.3.1_0.8-mean,1.6.4.0.3.1_0.8-std,1.6.4.0.4.1_0.9-mean,1.6.4.0.4.1_0.9-std,1.6.4.0.5.1_1.0-mean,1.6.4.0.5.1_1.0-std
small_ga-dem1_r25_1_0,0.791,0.042,0.8,0.04,0.789,0.027,0.778,0.062,0.783,0.029,\textbf{0.764},0.067
small_ga-dem4_r25_1_40,0.89,0.029,0.89,0.022,\textbf{0.854},0.045,0.887,0.035,0.865,0.029,0.873,0.034
small_no-dem2_r25_1_40,0.947,0.027,0.94,0.023,\textbf{0.914},0.02,0.928,0.031,0.921,0.024,0.916,0.043
small_no-dem3_r25_1_0,0.832,0.026,0.838,0.042,0.835,0.04,\textbf{0.824},0.055,0.847,0.019,0.845,0.037
small_uu-dem4_r25_1_0,\textbf{0.849},0.044,0.866,0.019,0.868,0.044,0.863,0.032,0.873,0.02,0.855,0.028
