models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.04903327239135766,0.8447456041293039,0.04083467224089347,6,0.18409061286353468,0.0,0.0,0.0,0.0,0.0,0
B,0.03511929789523343,0.7297704086079104,0.041180349410149475,9,0.32918598398401105,1.0,0.0,0.2857142857142857,0.3333333333333333,0.1,1
C,0.026105943409417097,0.6514360882820318,0.03649425260634901,14,0.4023845185796848,1.0,0.5555555555555556,0.0,0.5555555555555556,0.1,3
D,0.042231857390954815,0.7445806979589009,0.04339742480892286,9,0.3050322743667764,0.8333333333333334,0.5555555555555556,0.2857142857142857,0.0,0.1,2
E,0.016998393482682016,0.6415998366916987,0.11742196115211764,20,0.8066398629822182,1.0,0.7777777777777778,0.35714285714285715,0.6666666666666666,0.0,4
