Instance,A-mean,A-std,B-mean,B-std,C-mean,C-std,D-mean,D-std,E-mean,E-std
NIn1,0.0157,3.2e-03,0.0241,4.5e-03,0.0193,4.6e-03,0.0244,7.4e-03,\textbf{0.0567},9.6e-03
NIn2,0.025,4.9e-03,0.0351,8.6e-03,0.0293,0.01,0.0301,0.011,\textbf{0.113},3.4e-03
NIn3,0.0134,3.9e-03,0.0227,3.7e-03,0.0204,3.9e-03,0.0256,4.7e-03,\textbf{0.0593},7.3e-03
NIn4,0.0225,4.6e-03,0.0361,7.2e-03,0.0345,0.011,0.0311,3.4e-03,\textbf{0.0836},0.025
NIn5,0.0252,8.9e-03,0.043,6.7e-03,0.0348,7.9e-03,0.0415,7.9e-03,\textbf{0.0959},0.026
NIn6,0.0152,3.3e-03,0.0258,2.9e-03,0.0239,3.9e-03,0.023,4.5e-03,\textbf{0.0577},0.011
