Instance,A-mean,A-std,B-mean,B-std,C-mean,C-std,D-mean,D-std,E-mean,E-std
NIn1,0.707,0.09,0.516,0.17,0.589,0.22,0.615,0.17,\textbf{0.0213},0.036
NIn2,0.779,0.056,0.736,0.16,0.831,0.21,0.939,0.17,\textbf{0.252},0.079
NIn3,0.821,0.17,0.587,0.13,0.632,0.1,0.577,0.17,\textbf{0.0101},0.02
NIn4,0.872,0.09,0.583,0.12,0.658,0.12,0.735,0.092,\textbf{0.153},0.067
NIn5,0.867,0.14,0.461,0.094,0.605,0.14,0.518,0.12,\textbf{0.0886},0.075
NIn6,0.737,0.11,0.584,0.17,0.571,0.16,0.654,0.17,\textbf{0.0325},0.082
