Instance,A-mean,A-std,B-mean,B-std,C-mean,C-std,D-mean,D-std,E-mean,E-std
NIn1,0.755,0.055,0.495,0.1,0.569,0.11,0.515,0.097,\textbf{0.0211},0.035
NIn2,0.792,0.05,0.644,0.075,0.72,0.11,0.717,0.08,\textbf{0.214},0.058
NIn3,0.791,0.088,0.54,0.097,0.561,0.047,0.502,0.097,\textbf{0.0105},0.021
NIn4,0.759,0.065,0.62,0.064,0.677,0.099,0.66,0.054,\textbf{0.174},0.078
NIn5,0.785,0.073,0.501,0.088,0.667,0.076,0.603,0.062,\textbf{0.0836},0.063
NIn6,0.745,0.048,0.505,0.061,0.527,0.067,0.528,0.12,\textbf{0.0263},0.063
