Instance,A-mean,A-std,B-mean,B-std,C-mean,C-std,D-mean,D-std,E-mean,E-std
NIn1,6.2,1.1,10.9,1.9,9.5,2.2,10.3,1.9,\textbf{19.6},0.66
NIn2,5.4,0.8,8.1,1.3,6.6,2.1,6.6,1.5,\textbf{16.1},0.94
NIn3,5.3,1.6,10.1,1.6,9.5,0.92,10.7,1.7,\textbf{19.8},0.4
NIn4,5.6,1.3,8.6,1.2,7.5,1.7,7.6,0.92,\textbf{16.7},1.5
NIn5,5.3,1,10.8,1.5,8,1.5,9.1,1.3,\textbf{18.5},1.2
NIn6,5.5,1,10.8,0.98,10.3,1.3,10.1,2,\textbf{19.5},1.2
