models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim
netkeys,0.31999999891615155,0.30149359365057865,11,0.0,0.1,0.5
kruskal,2.520857865660907e-08,0.00014908168159461803,10,0.5454545454545454,0.0,0.5
prim,6.3995411192507845e-09,5.091429744447105e-05,4,0.09090909090909091,0.1,0.0
