models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.04916064605326075,0.7888425786171932,0.0008780806126634719,8,0.18114770753825266,0.0,0.0,0.0,0.0,0.0,0
B,0.04232745577023026,0.754506544044544,0.051210436268174134,9,0.30591164049855657,0.75,0.0,0.35714285714285715,0.14285714285714285,0.05,2
C,0.03365576969232585,0.6271861045719981,0.013590780659609152,14,0.3436216968671888,0.875,0.1111111111111111,0.0,0.07142857142857142,0.0,1
D,0.02636448654714326,0.6531891737934556,0.04205424203886564,14,0.4023395913878991,0.875,0.5555555555555556,0.42857142857142855,0.0,0.05,3
E,0.016911115330731717,0.6441346162266838,0.11720282884220706,20,0.805950477303331,0.875,0.8888888888888888,0.6428571428571429,0.5714285714285714,0.0,4
