models,delta,spacing,nds,hypervolume,c_guided prim,c_guided prim2,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,0.35999538552937504,0.6019599407179694,11,9.491487585142409,0.0,0.6,1.0,1.0,0.75,1.0,5
guided prim2,2.657842919808116e-05,0.005136008486627496,15,10.585819178482861,0.18181818181818182,0.0,1.0,1.0,1.0,1.0,4
kruskal,4.344773429920679e-09,1.2657403864243884e-05,3,1.067872947724121,0.0,0.0,0.0,0.5,0.5,1.0,3
netkeys,0.444444419270378,0.0003566195158772762,4,3.584399800281191,0.0,0.0,0.0,0.0,0.0,1.0,1
prim,1.1111106776999506,0.5765017255299055,4,3.814448049702028,0.0,0.0,0.0,0.75,0.0,1.0,2
prufer,2.8888888009779765,3.366411933846905,4,5.6111709445907,0.0,0.0,0.0,0.0,0.0,0.0,0
