models,delta,spacing,onvg,hypervolume,time,c_netkeys,c_prufer,c_prim,c_kruskal,c_gprim3,score
netkeys,0.786061354797224,0.01765153939620293,9,0.7519462865690208,66.9706642627716,0.0,0.0,0.0,0.0,0.0,0
prufer,0.8654936964629656,0.0229952578018052,6,0.7745682981331111,42.54463791847229,1.0,0.0,0.0,0.7142857142857143,0.0,2
prim,0.8468704007677751,0.005071644986420654,7,0.8377595445537123,44.35563611984253,1.0,1.0,0.0,0.8571428571428571,0.0,3
kruskal,0.824012450776368,0.022332976521786643,7,0.8178751953866277,52.57811713218689,1.0,0.16666666666666666,0.14285714285714285,0.0,0.0,1
gprim3,0.8220102601991998,0.0008166219435987052,8,0.968149446938555,75.01658701896667,1.0,1.0,1.0,1.0,0.0,4
