models,delta,spacing,onvg,hypervolume,c_1.6.2.0.4.0_0.05,c_1.6.2.0.4.1_0.1,c_1.6.2.0.4.2_0.15,c_1.6.2.0.4.3_0.2,c_1.6.2.0.4.4_0.3,c_1.6.2.0.4.5_0.4,c_1.6.2.0.4.6_0.5,c_1.6.2.0.4.7_0.6,score
1.6.2.0.4.0_0.05,0.7668997849467922,0.00015872646754612702,12,0.08351135880847692,0.0,0.35714285714285715,0.18181818181818182,0.2727272727272727,0.42857142857142855,0.4,0.21428571428571427,0.23529411764705882,3
1.6.2.0.4.1_0.1,0.6883629450093843,0.00010241519796786312,14,0.07640583529136688,0.3333333333333333,0.0,0.09090909090909091,0.36363636363636365,0.5,0.26666666666666666,0.21428571428571427,0.17647058823529413,1
1.6.2.0.4.2_0.15,0.7743589982597604,0.4045697709087883,11,0.06902096912911457,0.5833333333333334,0.6428571428571429,0.0,0.7272727272727273,0.6428571428571429,0.3333333333333333,0.42857142857142855,0.11764705882352941,5
1.6.2.0.4.3_0.2,0.764102582092635,6.761516564225296e-05,11,0.05461006185102566,0.4166666666666667,0.2857142857142857,0.09090909090909091,0.0,0.5,0.3333333333333333,0.07142857142857142,0.17647058823529413,3
1.6.2.0.4.4_0.3,0.6666667063859311,0.00014383224188173902,14,0.07096681437036667,0.25,0.5,0.09090909090909091,0.36363636363636365,0.0,0.3333333333333333,0.21428571428571427,0.23529411764705882,0
1.6.2.0.4.5_0.4,0.7142857164297557,0.25820154795045536,15,0.10638414784231398,0.25,0.5,0.18181818181818182,0.2727272727272727,0.35714285714285715,0.0,0.21428571428571427,0.11764705882352941,2
1.6.2.0.4.6_0.5,0.688362934817592,0.00029532081374339814,14,0.09176916480776767,0.75,0.7142857142857143,0.45454545454545453,0.8181818181818182,0.7857142857142857,0.6,0.0,0.35294117647058826,6
1.6.2.0.4.7_0.6,0.6121795401092582,0.00012762150105748412,17,0.08554393327975349,0.5833333333333334,0.7142857142857143,0.7272727272727273,0.6363636363636364,0.5714285714285714,0.6,0.5,0.0,7
