models,delta,spacing,onvg,hypervolume,c_1.6.9.0.0.1,c_1.6.9.0.1.1,c_1.6.9.0.2.1,c_1.6.9.0.3.1,c_1.6.9.0.4.1,c_1.6.9.0.5.1,score
1.6.9.0.0.1,0.5612536151351314,0.0002925279517081315,19,0.12923172237620656,0.0,0.2222222222222222,0.2222222222222222,0.25,0.0,0.2222222222222222,0
1.6.9.0.1.1,0.5867270522445391,0.00020588414535841444,18,0.1042640718248731,0.47368421052631576,0.0,0.4444444444444444,0.1875,0.3333333333333333,0.5555555555555556,2
1.6.9.0.2.1,0.5641026445361235,0.000321709305436782,18,0.11128958398005986,0.5789473684210527,0.5,0.0,0.4375,0.25,0.4444444444444444,4
1.6.9.0.3.1,0.6529914656578362,0.0002536911403290322,16,0.1041535438385206,0.631578947368421,0.6666666666666666,0.3888888888888889,0.0,0.4166666666666667,0.7777777777777778,4
1.6.9.0.4.1,0.7179487394553682,6.89139531622132e-05,12,0.04908585141742507,0.5789473684210527,0.4444444444444444,0.3888888888888889,0.375,0.0,0.6666666666666666,4
1.6.9.0.5.1,0.7948718071170028,1.7181126670621573e-05,9,0.0344849750783502,0.3157894736842105,0.16666666666666666,0.2222222222222222,0.125,0.0,0.0,1
