models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.9317949549326318,0.01272101980591583,9,0.09684558708266665,136.41024661064148,0.0,0.0,0.0,0.0,0.0,0
B,0.9963710836181291,0.038377769181291196,4,0.05485412873676786,144.80376195907593,0.8888888888888888,0.0,0.5,0.0,0.0,2
C,0.978576424688525,0.056804516597850165,4,0.09503574841875287,114.01338696479797,1.0,0.25,0.0,0.16666666666666666,0.0,1
D,0.9739240460231483,0.03260624135279947,6,0.09914553499911237,165.6295747756958,0.8888888888888888,0.5,0.5,0.0,0.0,3
E,1.0785681363776576,0.10932660458617272,22,0.5590905397909618,181.9295210838318,1.0,1.0,1.0,1.0,0.0,4
