models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.610327792358412,0.7052631691699061,0.547759843658587,6,0.01823718699468981,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.5123475487503104,0.473684249253578,8.148860632805416e-05,11,0.023974405918402275,1.0,0.0,0.0,0.1,0.0,0.0,1
C,0.6204836935031172,0.526315831661971,6.16732160295541e-05,10,0.01952621415405041,1.0,1.0,0.0,0.4,0.05,0.05,3
D,0.7228416212489692,0.5263158388476591,8.611179192041705e-05,10,0.02223583227184348,1.0,0.8181818181818182,0.3,0.0,0.1,0.0,2
E,6.641078069902181e-05,6.399782413906254e-06,0.00045826603889854246,20,0.06292183370645302,1.0,1.0,0.5,0.6,0.0,0.0,4
F,6.628361864458646e-05,6.399953381152349e-06,0.00045902348511727006,20,0.06293876164521907,1.0,1.0,0.6,0.7,0.3,0.0,5
