models,delta,spacing,onvg,hypervolume,time,c_netkeys,c_prufer,c_kruskal,c_prim,c_gprim,score
netkeys,0.6681392729064443,0.02788024676583405,11,0.6068223757987172,64.7359230518341,0.0,0.5,0.0,0.18181818181818182,0.0,1
prufer,0.835037469717561,0.016714783908753722,6,0.4639036975130009,40.9700129032135,0.18181818181818182,0.0,0.0,0.0,0.0,0
kruskal,0.6761993657503399,0.09375344397252396,11,0.6405282103603506,60.29647707939148,0.8181818181818182,0.6666666666666666,0.0,0.5454545454545454,0.0,3
prim,0.6123615363660635,0.023863875475720855,11,0.6344156036686396,43.68278098106384,0.8181818181818182,0.6666666666666666,0.18181818181818182,0.0,0.0,2
gprim,0.9374697820155397,0.23937670066838806,20,2.6033790234622374,77.92098689079285,1.0,1.0,1.0,1.0,0.0,4
