models,delta,spacing,nds,hypervolume,c_1.2.4.0.0.0,c_1.2.4.0.0.1,c_1.2.4.0.0.2,c_1.2.4.0.0.3,score
1.2.4.0.0.0,0.0,0.0,2,0.11386988023655897,0.0,0.0,0.0,0.0,0
1.2.4.0.0.1,2.670248407573202e-08,0.00010091574199997567,4,0.07673689850253804,0.0,0.0,1.0,0.25,2
1.2.4.0.0.2,inf,inf,1,0.0,0.0,0.0,0.0,0.25,1
1.2.4.0.0.3,1.1111107822302415,0.578520414978217,4,0.25833494315949423,1.0,0.0,0.0,0.0,1
