models,delta,spacing,nds,c_netkeys,c_prufer,c_kruskal,c_prim,c_guided prim,score
netkeys,0.32000001255173893,7.775936090188781e-05,11,0.0,0.0,0.23076923076923078,0.8888888888888888,0.03333333333333333,1
prufer,0.0,0.0,2,0.45454545454545453,0.0,0.6923076923076923,0.7777777777777778,0.23333333333333334,4
kruskal,4.713720563875867e-08,0.00020479289350243938,13,0.45454545454545453,0.0,0.0,0.6666666666666666,0.06666666666666667,2
prim,0.6562499972545464,0.9999741382224194,9,0.0,0.0,0.0,0.0,0.0,0
guided prim,0.06658737429033974,0.0007517506899697937,30,0.9090909090909091,0.0,0.8461538461538461,1.0,0.0,3
