models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9391639899653753,0.01795902691705132,4,0.4470706666184656,129.35348558425903,0.0,0.0,0.0,0.0,0.0,0
NetKeys,1.0,inf,1,0.43470677188328255,157.2545735836029,0.5,0.0,0.5,0.0,0.0,2
Prim,0.984093440247418,0.01719693113698457,4,0.5443381978199253,101.9827561378479,0.5,0.0,0.0,0.0,0.0,1
Kruskal,1.0,inf,1,0.4853711700787278,121.97320508956909,0.5,0.0,0.0,0.0,0.0,1
GPrim,0.9231601814177159,0.1888849138995228,6,0.7950349139766979,218.3177559375763,1.0,1.0,1.0,1.0,0.0,4
