models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.8974358867024729,0.5474978728093008,5,0.03733760312024695,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.8290598412628485,0.9486670070537819,10,0.05517203119186697,1.0,0.0,0.2727272727272727,0.23076923076923078,0.0,0.0,1
C,0.7743589806460561,0.4044570170198226,11,0.07730606322435382,1.0,0.5,0.0,0.15384615384615385,0.0,0.0,2
D,0.7136752405519626,0.2773130441646034,13,0.07763882299656086,1.0,0.6,0.45454545454545453,0.0,0.02857142857142857,0.0,3
E,0.12820758037098712,0.0006968292874629924,35,0.2586126711024882,1.0,1.0,1.0,0.8461538461538461,0.0,0.11428571428571428,4
F,0.12820739920615443,0.0006992743390803463,35,0.25916688322141257,1.0,1.0,1.0,1.0,0.42857142857142855,0.0,5
