models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.974357908168886,0.008395511672384181,6.5,0.042274295353084065,0.0,0.0,0.0,0.0,0.0,0.0
B,0.9411540192749962,0.012217038980145953,17.0,0.16507755187172823,0.8388888888888889,0.0,0.0,0.0,0.0,1.0
C,0.9724333853365964,0.006910949621289415,9.9,0.06101952112369644,1.0,0.4423532092262742,0.0,0.16937246963562752,0.0,2.6
D,0.94772964899625,0.0063602646727713655,16.9,0.12862668312314263,0.9875,0.9891176470588234,0.11424963924963924,0.0,0.0,2.3
E,0.7544024762540619,0.0025833619728681716,98.7,0.39424712643334947,1.0,1.0,1.0,0.9219019138755981,0.0,4.0
